"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
AU,AUSTRALIA,2629,137378,2679,159037
AT,AUSTRIA,112500,5435986,112500,5435986
BE,BELGIUM,993360,50868314,1310960,67113197
BR,BRAZIL,0,0,1362,198618
CN,CHINA,6875,405614,172862,8079322
CZ,CZECH REPUBLIC,0,0,132,23775
FR,FRANCE,110125,5047593,111565,5201979
DE,GERMANY,55003,3884006,115763,8430635
IN,INDIA,5,623,32,5240
ID,INDONESIA,16250,1592725,41542,3541766
JP,JAPAN,1145343,71966628,2282886,142155347
KR,"KOREA,REPUBLIC OF",774635,31629903,1413860,56143201
MY,MALAYSIA,56451,2770664,121451,5822697
NL,NETHERLANDS,85931,4436535,135431,7738999
SA,SAUDI ARABIA,247500,7720477,544500,16833837
SG,SINGAPORE,2899134,114853936,6031658,233467966
ES,SPAIN,2750,217536,8800,729803
SE,SWEDEN,0,0,91,169475
TW,"TAIWAN, PROVINCE OF CHINA",23550,863882,372250,13433023
TH,THAILAND,900,59338,900,59338
AE,UNITED ARAB EMIRATES,754825,23485793,1780575,54306957
GB,UNITED KINGDOM,14,8301,14,8301
US,UNITED STATES,51328,4201954,54578,4826621
SUM,SUM,7339108,329587186,14616391,633885120
