"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
BE,BELGIUM,111500,5059865,312675,14055225
CN,CHINA,120070,8446255,263070,18587054
FR,FRANCE,43875,3484250,86725,6902660
IN,INDIA,0,0,76800,3225166
ID,INDONESIA,62500,6188791,194725,16482168
IL,ISRAEL,10200,672359,10200,672359
JP,JAPAN,15000,1840315,332474,28114762
KR,"KOREA,REPUBLIC OF",38800,1831880,331450,14942284
KW,KUWAIT,74250,2890013,544500,20550481
MY,MALAYSIA,40500,1768944,622575,26838620
NL,NETHERLANDS,20000,858330,40000,1740527
QA,QATAR,127500,5158140,1300500,49626271
SA,SAUDI ARABIA,2740950,108437730,11946450,469082172
SG,SINGAPORE,731625,31075003,3563250,148763904
ES,SPAIN,0,0,31000,1355901
TW,"TAIWAN, PROVINCE OF CHINA",10,12025,10,12025
TH,THAILAND,32000,1479804,32000,1479804
AE,UNITED ARAB EMIRATES,668250,27366252,2705475,109317894
US,UNITED STATES,169225,8358546,477440,23207602
VN,VIETNAM,0,0,5,946
SUM,SUM,5006255,214928502,22871324,954957825
