"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'CIF (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'CIF (Baht)')"
BE,BELGIUM,54000,3648826,54000,3648826
CA,CANADA,34000,1656310,34000,1656310
CN,CHINA,53600,3143152,53600,3143152
DE,GERMANY,10000,831907,10000,831907
IN,INDIA,2000,137845,2000,137845
JP,JAPAN,144613,9533612,144613,9533612
KR,"KOREA,REPUBLIC OF",265000,14880088,265000,14880088
LA,LAO PDR,4,11613,4,11613
MY,MALAYSIA,41070,2936021,41070,2936021
TW,"TAIWAN, PROVINCE OF CHINA",127500,7690835,127500,7690835
GB,UNITED KINGDOM,243,183399,243,183399
US,UNITED STATES,244500,13186687,244500,13186687
VN,VIETNAM,13740,463453,13740,463453
SUM,SUM,990270,58303748,990270,58303748
