"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'CIF (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'CIF (Baht)')"
CN,CHINA,225,51618,31323,2061254
JP,JAPAN,47000,3311978,196220,14594233
MY,MALAYSIA,0,0,40000,2379785
NL,NETHERLANDS,0,0,1250,117214
SA,SAUDI ARABIA,148500,6280939,867000,39521871
SG,SINGAPORE,565000,37323809,4245450,283891946
TH,THAILAND,0,0,75,16846
AE,UNITED ARAB EMIRATES,148500,6013557,396000,16365881
US,UNITED STATES,0,0,832478,70682061
SUM,SUM,909225,52981901,6609796,429631091
