"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2012', 'Quantity')","('May 2012', 'CIF (Baht)')","('Jan - May 2012', 'Quantity')","('Jan - May 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,372345,24337792,1593025,96088875
CA,CANADA,0,0,20956,1583244
CN,CHINA,389279,18178247,1954604,90590325
FR,FRANCE,31625,2446160,67875,5498801
DE,GERMANY,129390,18456906,548690,49742974
IN,INDIA,0,0,460500,20081421
ID,INDONESIA,24750,1235611,452000,20915692
JP,JAPAN,1731515,106228876,7623140,468764121
KR,"KOREA,REPUBLIC OF",570000,26158770,811680,37113467
KW,KUWAIT,396000,17843452,1534500,65356256
MY,MALAYSIA,280500,13715352,2020500,96967749
MX,MEXICO,167,35895,387,78708
NL,NETHERLANDS,800,215498,28750,2821728
QA,QATAR,1800460,90481082,12587844,579298724
SA,SAUDI ARABIA,1831500,84422083,9231750,404536841
SG,SINGAPORE,2857650,141262645,13147240,610136597
SE,SWEDEN,11000,869788,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",28575,764501,30175,972086
TH,THAILAND,0,0,22000,942572
AE,UNITED ARAB EMIRATES,1699952,78018338,11489642,490575588
US,UNITED STATES,161079,10955488,229679,15143896
SUM,SUM,12316587,635626484,63895042,3059966620
