"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'CIF (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'CIF (Baht)')"
CN,CHINA,25500,1977790,77500,6204594
FR,FRANCE,1,1036,22386,3260705
DE,GERMANY,2,603,6302,1219598
IN,INDIA,91343,5815783,224325,14911466
IT,ITALY,500,139627,18724,2538729
JP,JAPAN,55080,4361448,684924,51186387
KR,"KOREA,REPUBLIC OF",102690,6683924,2072262,141763050
MY,MALAYSIA,0,0,58714,3887118
NL,NETHERLANDS,0,0,2,3186
RU,RUSSIAN FEDERATION,0,0,16500,2997080
SG,SINGAPORE,0,0,3740,710324
AE,UNITED ARAB EMIRATES,0,0,7200,849467
US,UNITED STATES,38,28818,12985,2272664
SUM,SUM,275154,19009029,3205564,231804368
