"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,39,70153
BD,BANGLADESH,0,0,1,67
CN,CHINA,1,16334,71768,3280235
DE,GERMANY,0,0,5,12475
IE,IRELAND,0,0,2,1374
JP,JAPAN,17004,2060258,93966,11446476
KR,"KOREA,REPUBLIC OF",72000,3201952,305008,13702295
MY,MALAYSIA,0,0,10,1378
SG,SINGAPORE,15000,835603,181500,9464406
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,10114
US,UNITED STATES,0,0,151,66509
SUM,SUM,104005,6114147,652550,38055482
