"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'CIF (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'CIF (Baht)')"
AT,AUSTRIA,0,0,2634,4245640
BD,BANGLADESH,0,0,34,7801
BE,BELGIUM,0,0,47259,5554743
BZ,BELIZE,0,0,764,266807
BR,BRAZIL,191,85087,2674,1015657
CA,CANADA,1,17951,113,230304
CN,CHINA,370936,26438999,2253524,164317101
FR,FRANCE,6001,774431,259350,20793297
DE,GERMANY,4921,1821972,2104660,173838786
HK,HONG KONG,72,12266,255272,24995312
IN,INDIA,40,1304,1327,150113
ID,INDONESIA,0,0,45069,5295713
IT,ITALY,2460,505188,18800,4011022
JP,JAPAN,225656,37977941,2089531,371575928
KR,"KOREA,REPUBLIC OF",255200,19485915,3614383,270287977
MY,MALAYSIA,141000,12270033,1343158,117329732
NL,NETHERLANDS,119350,11611353,1105656,108684456
NO,NORWAY,0,0,480,191411
PK,PAKISTAN,10,2968,10,2968
PL,POLAND,23,42713,23,42713
SA,SAUDI ARABIA,519750,20636534,2049775,83786040
SG,SINGAPORE,87350,17342720,516092,87725382
ES,SPAIN,0,0,0,991
TW,"TAIWAN, PROVINCE OF CHINA",50,20836,3988,3295446
TH,THAILAND,0,0,514,84960
AE,UNITED ARAB EMIRATES,0,0,2555190,148935220
GB,UNITED KINGDOM,0,0,62218,9466863
US,UNITED STATES,116786,27519871,1030826,191503778
VN,VIETNAM,0,0,23829,2393959
SUM,SUM,1849797,176568082,19387153,1800030120
