"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2020', 'Quantity')","('Feb 2020', 'CIF (Baht)')","('Jan - Feb 2020', 'Quantity')","('Jan - Feb 2020', 'CIF (Baht)')"
AU,AUSTRALIA,4000,210707,7768,409034
BE,BELGIUM,54000,2376993,159250,6371418
BR,BRAZIL,0,0,300,32508
CA,CANADA,0,0,50000,1260807
CN,CHINA,12000,441131,144000,8621984
DE,GERMANY,24725,1096410,24725,1096410
IN,INDIA,104000,2830688,104000,2830688
ID,INDONESIA,331750,10483144,515500,19456090
JP,JAPAN,39250,4061794,67250,7421610
KR,"KOREA,REPUBLIC OF",14000,578004,50000,1855588
KW,KUWAIT,198000,4783668,371250,8941826
LA,LAO PDR,0,0,30000,473436
MY,MALAYSIA,25000,833365,25000,833365
QA,QATAR,280500,7168369,484500,12126532
SA,SAUDI ARABIA,2353950,62292729,5085450,134807662
SG,SINGAPORE,211000,7170824,564250,17909452
CH,SWITZERLAND,200,22224,200,22224
TW,"TAIWAN, PROVINCE OF CHINA",100,4587,100,4587
AE,UNITED ARAB EMIRATES,1152750,30847502,1796250,47887678
US,UNITED STATES,629617,19732855,1669817,49215488
VN,VIETNAM,0,0,150,25209
SUM,SUM,5434842,154934994,11149760,321603596
