"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2018', 'Quantity')","('May 2018', 'CIF (Baht)')","('Jan - May 2018', 'Quantity')","('Jan - May 2018', 'CIF (Baht)')"
CA,CANADA,0,0,9,32437
CN,CHINA,4907,304458,5016,343747
DE,GERMANY,0,0,24,22270
IN,INDIA,0,0,1,31240
JP,JAPAN,9000,593997,51291,5609166
MY,MALAYSIA,600,217859,600,217859
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,0,0,350,20708
SA,SAUDI ARABIA,134750,5202646,357500,13762480
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18025,1343703
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,18003,1369133,36013,2775974
SUM,SUM,167260,7688093,468830,24177656
