"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
CN,CHINA,12004,557295,30226,2316729
DE,GERMANY,0,0,7025,862332
JP,JAPAN,50,8507,27050,2099715
KR,"KOREA,REPUBLIC OF",0,0,23150,1494707
NL,NETHERLANDS,60500,3007070,561500,27126223
SA,SAUDI ARABIA,148500,5912683,861750,35170958
SG,SINGAPORE,777750,52669023,4307600,278233798
ES,SPAIN,8800,575185,86750,4620169
TH,THAILAND,0,0,25,17268
AE,UNITED ARAB EMIRATES,271250,11311695,1381425,56870629
GB,UNITED KINGDOM,0,0,25,14852
US,UNITED STATES,39700,3222218,176348,13445196
SUM,SUM,1318554,77263676,7462874,422272576
