"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,781871
AT,AUSTRIA,0,0,115500,7950805
BE,BELGIUM,0,0,40800,4119795
CN,CHINA,242000,15351463,482500,30559018
FI,FINLAND,2000,227232,12000,1343969
IN,INDIA,0,0,24000,1507013
JP,JAPAN,121000,10248192,929000,77649367
KR,"KOREA,REPUBLIC OF",503025,34675118,1996025,129538035
MY,MALAYSIA,80000,5393494,435000,28084350
PH,PHILIPPINES,0,0,500,82513
SA,SAUDI ARABIA,0,0,24750,1055526
SG,SINGAPORE,0,0,2900,241978
SE,SWEDEN,81500,6100250,499750,46832081
TW,"TAIWAN, PROVINCE OF CHINA",0,0,11000,934846
AE,UNITED ARAB EMIRATES,39000,2030892,763450,36579475
US,UNITED STATES,0,0,668560,52053003
VN,VIETNAM,51175,3400333,328175,20346541
SUM,SUM,1119700,77426974,6344910,439660186
