"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2020', 'Quantity')","('Mar 2020', 'CIF (Baht)')","('Jan - Mar 2020', 'Quantity')","('Jan - Mar 2020', 'CIF (Baht)')"
CN,CHINA,1,623,302,308648
FR,FRANCE,1500,275904,3500,644014
HK,HONG KONG,0,0,44,8175
IN,INDIA,28,5780,28,5780
IL,ISRAEL,12000,783245,24000,1546577
JP,JAPAN,37585,5140310,126969,15216168
KR,"KOREA,REPUBLIC OF",63000,4942231,141049,9067472
QA,QATAR,17000,483505,34000,956612
GB,UNITED KINGDOM,700,177288,701,178000
US,UNITED STATES,6,4766,6,4766
SUM,SUM,131820,11813652,330599,27936212
