"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'CIF (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'CIF (Baht)')"
BE,BELGIUM,0,0,84000,9343252
CA,CANADA,0,0,8890,325714
CN,CHINA,0,0,10996,746106
DE,GERMANY,0,0,1100,578409
IT,ITALY,0,0,5750,730083
JP,JAPAN,0,0,54136,4139766
KR,"KOREA,REPUBLIC OF",0,0,194900,16974620
SA,SAUDI ARABIA,0,0,24750,1055117
SG,SINGAPORE,288000,8742496,1536000,42936590
SE,SWEDEN,0,0,14000,1485683
AE,UNITED ARAB EMIRATES,0,0,296700,9470248
GB,UNITED KINGDOM,0,0,20150,2460082
US,UNITED STATES,200490,11182210,1501401,96382145
SUM,SUM,488490,19924706,3752773,186627815
