"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
CA,CANADA,2,21816,9,32437
CN,CHINA,6,1757,109,39289
DE,GERMANY,6,2596,24,22270
IN,INDIA,0,0,1,31240
JP,JAPAN,1016,134206,42291,5015169
NL,NETHERLANDS,0,0,0,5110
NO,NORWAY,0,0,350,20708
SA,SAUDI ARABIA,0,0,222750,8559834
TW,"TAIWAN, PROVINCE OF CHINA",0,0,18025,1343703
GB,UNITED KINGDOM,0,0,1,12962
US,UNITED STATES,0,0,18010,1406841
SUM,SUM,1030,160375,301570,16489563
