"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'CIF (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'CIF (Baht)')"
BR,BRAZIL,1375,129984,2950,279226
CN,CHINA,0,0,9,5466
ID,INDONESIA,0,0,50,14745
JP,JAPAN,123400,4678554,1016050,38667422
KR,"KOREA,REPUBLIC OF",0,0,88000,2718146
MY,MALAYSIA,0,0,1338750,35103595
SA,SAUDI ARABIA,123750,3713417,1138500,30657870
SG,SINGAPORE,74250,2145057,173250,4569141
TW,"TAIWAN, PROVINCE OF CHINA",0,0,20100,1103982
US,UNITED STATES,0,0,306000,10561896
SUM,SUM,322775,10667012,4083659,123681489
