"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'CIF (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,2700,149871
AT,AUSTRIA,0,0,22500,1829969
BE,BELGIUM,393060,32903098,3466505,259494197
BR,BRAZIL,0,0,8853,1463965
CN,CHINA,397155,29798560,1345278,98579751
FR,FRANCE,300,49728,50325,3512471
DE,GERMANY,58350,6418140,389783,42352616
HK,HONG KONG,0,0,101,29557
IN,INDIA,469875,28653057,1263415,75897279
ID,INDONESIA,54725,5377265,256312,27234254
JP,JAPAN,1042245,104292360,6676716,538209213
KR,"KOREA,REPUBLIC OF",1366750,71225607,10855700,528605607
MY,MALAYSIA,16920,969331,325420,29261418
NL,NETHERLANDS,24750,2386234,641625,57766106
SA,SAUDI ARABIA,802030,39992357,4018820,186740346
SG,SINGAPORE,3590651,220116642,20483436,1167658016
ES,SPAIN,20,10104,26270,2801652
CH,SWITZERLAND,0,0,34560,2386564
TW,"TAIWAN, PROVINCE OF CHINA",100365,7305505,515785,35650225
TH,THAILAND,0,0,2000,191069
AE,UNITED ARAB EMIRATES,789250,38344848,3388100,156499924
GB,UNITED KINGDOM,0,0,1850,916289
US,UNITED STATES,84868,11224032,309468,38816891
VN,VIETNAM,0,0,4525,672132
SUM,SUM,9191314,599066868,54090047,3256719382
