"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
CN,CHINA,165000,6542712,165000,6542712
ID,INDONESIA,9500,785190,9500,785190
JP,JAPAN,800,92465,800,92465
KR,"KOREA,REPUBLIC OF",22000,864402,22000,864402
KW,KUWAIT,123750,4706668,123750,4706668
MY,MALAYSIA,1516000,68188935,1516000,68188935
QA,QATAR,255000,9618436,255000,9618436
SA,SAUDI ARABIA,1559250,59168656,1559250,59168656
SG,SINGAPORE,320000,14431425,320000,14431425
AE,UNITED ARAB EMIRATES,13000,612939,13000,612939
US,UNITED STATES,198000,8495338,198000,8495338
SUM,SUM,4182300,173507166,4182300,173507166
