"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2019', 'Quantity')","('Jul 2019', 'CIF (Baht)')","('Jan - Jul 2019', 'Quantity')","('Jan - Jul 2019', 'CIF (Baht)')"
BR,BRAZIL,0,0,275,35400
CN,CHINA,300,161319,60178,997266
DE,GERMANY,0,0,6520,12867744
IN,INDIA,0,0,49,13152
JP,JAPAN,48600,2067791,505711,11601068
KR,"KOREA,REPUBLIC OF",0,0,56000,2031181
MY,MALAYSIA,0,0,1400,549489
NL,NETHERLANDS,0,0,3,2064
PH,PHILIPPINES,0,0,13,2530
SA,SAUDI ARABIA,173250,6073396,1237500,43446236
TW,"TAIWAN, PROVINCE OF CHINA",0,0,86,19648
UA,UKRAINE,0,0,5,1974
GB,UNITED KINGDOM,2,1043,2,1043
US,UNITED STATES,0,0,54005,4146287
SUM,SUM,222152,8303549,1921747,75715082
