"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,20130,613741
AT,AUSTRIA,100,12363,8410,1363602
BE,BELGIUM,55725,4176022,470255,41567919
BR,BRAZIL,0,0,300,64633
CA,CANADA,8500,1664724,21160,4688300
CN,CHINA,600402,32360806,3768590,164227294
EG,EGYPT,50,7550,50,7550
FI,FINLAND,0,0,50,47265
FR,FRANCE,840,144715,82022,7829460
DE,GERMANY,40295,2832090,167795,15584539
HK,HONG KONG,0,0,44,52766
IN,INDIA,2000,378290,117264,6171948
ID,INDONESIA,0,0,440,21620
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,83,57003
IL,ISRAEL,0,0,100,4404
IT,ITALY,1500,604804,24752,7213718
JP,JAPAN,329801,37936744,2411760,299942340
KR,"KOREA,REPUBLIC OF",401800,19407404,2406202,116945330
LU,LUXEMBOURG,0,0,175,38999
MY,MALAYSIA,96425,4719281,670013,35864085
NL,NETHERLANDS,0,0,272,110131
NZ,NEW ZEALAND,0,0,250,17740
QA,QATAR,0,0,1734050,72488455
SA,SAUDI ARABIA,24750,918255,970825,42223705
SG,SINGAPORE,2525050,113552478,17107195,821476238
ZA,SOUTH AFRICA,0,0,0,16076
ES,SPAIN,8800,567844,59675,4781968
SE,SWEDEN,0,13047,0,13047
CH,SWITZERLAND,1,4583,94,51163
TW,"TAIWAN, PROVINCE OF CHINA",32550,1807188,335935,25820752
TH,THAILAND,10000,487121,36088,2134607
TT,TRINIDAD AND TOBAGO,0,0,17277,208771
UA,UKRAINE,0,0,24400,1118207
AE,UNITED ARAB EMIRATES,110100,4311599,1866560,78433266
GB,UNITED KINGDOM,4500,871878,17400,4256143
US,UNITED STATES,230372,31259328,2220212,280690440
VN,VIETNAM,200,17202,647,97905
SUM,SUM,4483761,258055316,34560475,2036245130
