"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2014', 'Quantity')","('May 2014', 'CIF (Baht)')","('Jan - May 2014', 'Quantity')","('Jan - May 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,8740,852448
AT,AUSTRIA,55550,3232622,56970,3910163
BE,BELGIUM,20860,1073091,142086,11358701
CA,CANADA,21810,1330938,329060,18420675
CN,CHINA,415519,18253077,2000431,93220770
DK,DENMARK,0,0,1,11308
FI,FINLAND,0,0,49500,3315974
FR,FRANCE,11000,1068992,11000,1068992
DE,GERMANY,22840,2406305,438527,35423610
GR,GREECE,0,0,1375,140165
HK,HONG KONG,0,0,79090,1213731
IN,INDIA,2000,199090,28511,2239525
ID,INDONESIA,0,0,25,6381
IT,ITALY,500,264776,500,264776
JP,JAPAN,403468,47300887,2004981,222699220
KR,"KOREA,REPUBLIC OF",62296,5916042,793731,60001411
MY,MALAYSIA,60859,4859640,290139,23156132
NL,NETHERLANDS,0,0,26675,2018864
QA,QATAR,484500,24464475,1096500,55548699
SA,SAUDI ARABIA,810450,40983260,3888450,198470777
SG,SINGAPORE,1746827,103456369,8125767,478883521
LK,SRI LANKA,0,0,1,146
SE,SWEDEN,20000,972987,20000,972987
CH,SWITZERLAND,0,1844,0,3776
TW,"TAIWAN, PROVINCE OF CHINA",84630,4649815,618455,38699125
TH,THAILAND,2000,261809,9200,1243262
AE,UNITED ARAB EMIRATES,332404,17021443,1191179,63815482
GB,UNITED KINGDOM,0,0,4900,830793
US,UNITED STATES,1262243,102115635,5641319,440336291
VN,VIETNAM,14675,1275873,64725,5539536
SUM,SUM,5834431,381108970,26921838,1763667241
