"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2016', 'Quantity')","('Dec 2016', 'CIF (Baht)')","('Jan - Dec 2016', 'Quantity')","('Jan - Dec 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,26550,2182711
AT,AUSTRIA,45000,2569629,67740,3939788
BE,BELGIUM,24750,1201856,569525,27351510
BR,BRAZIL,0,0,12278,2055964
CA,CANADA,100000,4282716,654000,28646229
CN,CHINA,30528,4656576,541981,80226498
FR,FRANCE,0,0,779310,38932775
DE,GERMANY,400,189918,74111,14744566
HK,HONG KONG,0,0,8625,1119321
IN,INDIA,6,1307,8819,661276
ID,INDONESIA,37725,4416326,221975,25460819
IT,ITALY,123750,7949790,166677,11428033
JP,JAPAN,986631,64443758,13622248,874119399
KP,KOREA DPR,0,0,22000,1000644
KR,"KOREA,REPUBLIC OF",298450,14017080,3657900,169323472
MY,MALAYSIA,24000,1139202,373450,15820834
MX,MEXICO,120,119334,800,210614
NL,NETHERLANDS,149875,8652037,1242987,73286092
NO,NORWAY,0,0,33,18513
SA,SAUDI ARABIA,347100,13184310,2804650,106343410
SG,SINGAPORE,4236605,195494890,58076160,2578902097
ZA,SOUTH AFRICA,0,0,1089000,38155375
ES,SPAIN,0,0,83635,7914199
SE,SWEDEN,1000,116029,1000,116029
TW,"TAIWAN, PROVINCE OF CHINA",16500,784437,1384186,62571029
TH,THAILAND,0,0,121765,4953885
TR,TÜRKIYE,0,0,4568,296338
AE,UNITED ARAB EMIRATES,198000,7954206,5377475,200121103
GB,UNITED KINGDOM,0,0,1007,427720
US,UNITED STATES,50753,5169395,429200,43341516
VN,VIETNAM,0,0,200,37832
SUM,SUM,6671193,336342796,91423855,4413709591
