"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
CN,CHINA,15000,1061184,15000,1061184
IT,ITALY,107250,23247096,107250,23247096
JP,JAPAN,20000,2095955,20000,2095955
KR,"KOREA,REPUBLIC OF",39800,2989817,39800,2989817
MY,MALAYSIA,2000,166132,2000,166132
SG,SINGAPORE,12000,805411,12000,805411
TW,"TAIWAN, PROVINCE OF CHINA",5000,741014,5000,741014
AE,UNITED ARAB EMIRATES,13000,613127,13000,613127
VN,VIETNAM,5500,316468,5500,316468
SUM,SUM,219550,32036204,219550,32036204
