"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2014', 'Quantity')","('Mar 2014', 'CIF (Baht)')","('Jan - Mar 2014', 'Quantity')","('Jan - Mar 2014', 'CIF (Baht)')"
BE,BELGIUM,65000,4839176,232500,16624104
BR,BRAZIL,0,0,1000,151504
CN,CHINA,78866,4693195,107805,6402058
FR,FRANCE,0,0,11000,933832
DE,GERMANY,0,0,100,32745
HK,HONG KONG,3300,223922,8250,560101
ID,INDONESIA,0,0,288,1758
IT,ITALY,13000,2022994,60360,9044321
JP,JAPAN,209050,13963801,402065,29639893
KR,"KOREA,REPUBLIC OF",223000,14584673,279016,17982734
MY,MALAYSIA,121500,5730748,433260,19207385
NL,NETHERLANDS,0,0,2750,293198
SG,SINGAPORE,15000,587210,31706,1464086
TW,"TAIWAN, PROVINCE OF CHINA",82000,5563977,227500,14616949
TH,THAILAND,0,0,147,33460
US,UNITED STATES,35500,4810659,95875,11802144
VN,VIETNAM,79650,1445567,136380,2734560
SUM,SUM,925866,58465922,2030002,131524832
