"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2015', 'Quantity')","('Jan 2015', 'CIF (Baht)')","('Jan - Jan 2015', 'Quantity')","('Jan - Jan 2015', 'CIF (Baht)')"
AT,AUSTRIA,1,8200,1,8200
BE,BELGIUM,38600,3837880,38600,3837880
BR,BRAZIL,1075,159347,1075,159347
CN,CHINA,34480,1760229,34480,1760229
IT,ITALY,800,192320,800,192320
JP,JAPAN,132250,9134147,132250,9134147
KR,"KOREA,REPUBLIC OF",549858,28150505,549858,28150505
MY,MALAYSIA,57917,2854101,57917,2854101
ES,SPAIN,41,5720,41,5720
TW,"TAIWAN, PROVINCE OF CHINA",81000,5244836,81000,5244836
US,UNITED STATES,11957,1916648,11957,1916648
VN,VIETNAM,58220,928610,58220,928610
SUM,SUM,966199,54192543,966199,54192543
