"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
CA,CANADA,0,0,10000,1456900
CN,CHINA,6200,1512336,42643,9576013
FR,FRANCE,0,0,2,1175
DE,GERMANY,0,0,516,205671
IN,INDIA,0,0,1665,108142
IL,ISRAEL,0,0,10,6818
JP,JAPAN,23304,4174817,56761,10193316
MY,MALAYSIA,0,0,0,57
NL,NETHERLANDS,0,0,25,13671
SG,SINGAPORE,0,0,10,1745
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121,11577
TR,TÜRKIYE,0,0,5,157
GB,UNITED KINGDOM,46,22570,694,354272
US,UNITED STATES,0,0,46572,1929877
VN,VIETNAM,0,0,6,869
SUM,SUM,29550,5709723,159030,23860260
