"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2018', 'Quantity')","('Jan 2018', 'CIF (Baht)')","('Jan - Jan 2018', 'Quantity')","('Jan - Jan 2018', 'CIF (Baht)')"
BR,BRAZIL,965250,48124422,965250,48124422
CN,CHINA,4000,297052,4000,297052
FI,FINLAND,49500,2838500,49500,2838500
DE,GERMANY,339011,23609493,339011,23609493
ID,INDONESIA,1250,657394,1250,657394
IT,ITALY,1,5189,1,5189
JP,JAPAN,173474,17266376,173474,17266376
KR,"KOREA,REPUBLIC OF",411500,21252560,411500,21252560
KW,KUWAIT,396000,15400029,396000,15400029
MY,MALAYSIA,4570211,193248978,4570211,193248978
NL,NETHERLANDS,227495,12585033,227495,12585033
NO,NORWAY,35110,2121306,35110,2121306
QA,QATAR,739500,31025973,739500,31025973
SA,SAUDI ARABIA,3619600,146975252,3619600,146975252
SG,SINGAPORE,2368900,109923225,2368900,109923225
CH,SWITZERLAND,49860,3077131,49860,3077131
TW,"TAIWAN, PROVINCE OF CHINA",2000,311166,2000,311166
TH,THAILAND,72000,3650907,72000,3650907
AE,UNITED ARAB EMIRATES,122280,4067298,122280,4067298
GB,UNITED KINGDOM,5400,812882,5400,812882
US,UNITED STATES,202951,12974814,202951,12974814
VN,VIETNAM,2000,300100,2000,300100
SUM,SUM,14357293,650525080,14357293,650525080
