"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2022', 'Quantity')","('Jul 2022', 'CIF (Baht)')","('Jan - Jul 2022', 'Quantity')","('Jan - Jul 2022', 'CIF (Baht)')"
AU,AUSTRALIA,3,906,17552,1328473
AT,AUSTRIA,0,0,6000,680853
BE,BELGIUM,0,470,221902,21518092
BR,BRAZIL,7000,1754720,9000,2243370
CA,CANADA,1020,428335,166845,12403445
CN,CHINA,1095561,54997722,8248480,383805701
FI,FINLAND,0,0,25,18143
FR,FRANCE,3,2994,192,102208
DE,GERMANY,21290,2433412,131728,16686783
HK,HONG KONG,0,0,49504,1001046
IS,ICELAND,2000,263742,2000,263742
IN,INDIA,16260,1970193,40405,5092906
ID,INDONESIA,1000,97717,1500,144674
IL,ISRAEL,0,0,20000,1901916
IT,ITALY,0,2118,33747,8453944
JP,JAPAN,256562,38350611,1722172,230635522
KR,"KOREA,REPUBLIC OF",386016,19864841,2655221,202129836
MY,MALAYSIA,26000,2195151,249782,18488427
NL,NETHERLANDS,0,0,8875,1918337
AN,NETHERLANDS ANTILLES,0,0,5000,573139
NZ,NEW ZEALAND,83,54703,737,491579
QA,QATAR,76500,4164807,229500,12986389
SA,SAUDI ARABIA,27500,1259561,423500,23247810
SG,SINGAPORE,1016065,64264465,4552381,278668679
ES,SPAIN,0,0,556,250324
CH,SWITZERLAND,25,22456,175,269094
TW,"TAIWAN, PROVINCE OF CHINA",7325,1194867,51927,6541494
TH,THAILAND,0,0,17600,1809292
TN,TUNISIA,0,0,94,30884
AE,UNITED ARAB EMIRATES,0,0,266975,12834770
GB,UNITED KINGDOM,0,0,15693,1795807
US,UNITED STATES,940209,82122379,4818208,453898970
VN,VIETNAM,7612,1223656,56447,5950394
SUM,SUM,3888034,276669826,24023723,1708166043
