"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'CIF (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'CIF (Baht)')"
BE,BELGIUM,1,712,1,712
CA,CANADA,0,0,12540,529097
CN,CHINA,0,0,119171,4193780
DE,GERMANY,0,0,6033,1189141
HK,HONG KONG,13,2831,13,2831
ID,INDONESIA,25,11516,75,25651
JP,JAPAN,11000,747205,99302,8729581
KR,"KOREA,REPUBLIC OF",0,0,65002,3578906
MY,MALAYSIA,0,0,192000,6530777
NL,NETHERLANDS,11000,500976,261350,11061338
QA,QATAR,0,0,25500,682755
SA,SAUDI ARABIA,99000,2880640,1530000,43870621
SG,SINGAPORE,1602050,66434977,11401135,502841064
ES,SPAIN,17600,1038150,304200,19970611
TW,"TAIWAN, PROVINCE OF CHINA",0,0,50,13824
AE,UNITED ARAB EMIRATES,544500,17041932,7074375,191489362
US,UNITED STATES,813700,28190143,16466256,545548677
SUM,SUM,3098889,116849082,37557003,1340258728
