"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'CIF (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'CIF (Baht)')"
BE,BELGIUM,0,0,28,16556
CN,CHINA,75,3190,151112,5275532
HK,HONG KONG,0,0,11,3425
IT,ITALY,0,0,13750,3359106
JP,JAPAN,3,11947,150003,4759904
KR,"KOREA,REPUBLIC OF",106000,5125038,1095240,69511339
MY,MALAYSIA,0,0,72445,4718842
QA,QATAR,0,0,17000,505993
SA,SAUDI ARABIA,0,0,156750,6434096
SG,SINGAPORE,0,0,1575,275105
SE,SWEDEN,0,0,40000,2772286
GB,UNITED KINGDOM,0,0,325,283967
US,UNITED STATES,12701,1302248,177812,18683492
VN,VIETNAM,1560,104263,3240,220172
SUM,SUM,120339,6546686,1879291,116819815
