"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
CA,CANADA,24750,858988,123750,4824347
CN,CHINA,113200,3330560,402200,17898772
ID,INDONESIA,25,7610,49,14581
JP,JAPAN,93138,10099274,216388,21357021
KR,"KOREA,REPUBLIC OF",875625,63923921,1639050,130453695
NL,NETHERLANDS,51000,2559096,257250,12778632
QA,QATAR,0,0,204000,6737062
SA,SAUDI ARABIA,316375,12515349,853925,32220522
SG,SINGAPORE,1595500,92645469,5036030,275212929
ES,SPAIN,18700,2116812,36300,4305360
TW,"TAIWAN, PROVINCE OF CHINA",1,299,1,299
AE,UNITED ARAB EMIRATES,445500,17628582,2201950,82274385
US,UNITED STATES,1687773,69797521,6088084,249225551
VN,VIETNAM,0,0,125,6736
SUM,SUM,5221587,275483481,17059102,837309892
