"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2023', 'Quantity')","('Feb 2023', 'CIF (Baht)')","('Jan - Feb 2023', 'Quantity')","('Jan - Feb 2023', 'CIF (Baht)')"
AT,AUSTRIA,0,0,200,314292
BE,BELGIUM,0,0,2040,142793
BR,BRAZIL,191,76869,382,155126
CA,CANADA,0,0,3,1677
CN,CHINA,176639,16748242,679568,47310623
CZ,CZECH REPUBLIC,0,0,0,68
FR,FRANCE,23142,1715746,23142,1715746
DE,GERMANY,18606,1625879,22746,2796763
HK,HONG KONG,2750,760093,2825,778316
IN,INDIA,1,75,1,75
ID,INDONESIA,0,193,31,8829
JP,JAPAN,239207,41610647,367444,66028230
KR,"KOREA,REPUBLIC OF",200725,15050440,677932,37074856
MY,MALAYSIA,140107,9287881,274307,19314069
MX,MEXICO,52,38808,52,38808
NL,NETHERLANDS,120075,10931681,242455,23105795
SG,SINGAPORE,18200,2926035,59581,10023500
TW,"TAIWAN, PROVINCE OF CHINA",1,968,1,968
TH,THAILAND,481,22476,481,22476
AE,UNITED ARAB EMIRATES,148502,5891336,742502,26385875
GB,UNITED KINGDOM,0,0,5,3382
US,UNITED STATES,15421,4258142,93100,21970562
VN,VIETNAM,4000,369543,8000,760545
SUM,SUM,1108100,111315054,3196798,257953374
