"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'CIF (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'CIF (Baht)')"
BE,BELGIUM,5500,831101,5500,831101
CN,CHINA,25,4205,51475,3425577
JP,JAPAN,11550,1038045,109552,7989507
KP,KOREA DPR,0,0,50,12505
KR,"KOREA,REPUBLIC OF",0,0,23207,1608623
NL,NETHERLANDS,96250,4144896,378250,16669520
SA,SAUDI ARABIA,49500,1677118,767250,27318909
SG,SINGAPORE,2036445,88676017,14247780,652927291
ES,SPAIN,155600,7577102,672870,36292188
AE,UNITED ARAB EMIRATES,481250,15018656,2469225,86311278
US,UNITED STATES,190125,8158194,1024048,48642393
SUM,SUM,3026245,127125334,19749207,882028892
