"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
BE,BELGIUM,0,0,24000,2318904
CN,CHINA,46800,3236815,452872,27562095
FR,FRANCE,0,0,1100,175571
DE,GERMANY,0,0,12005,1237929
HK,HONG KONG,22,6828,12768,622337
IT,ITALY,13750,3042410,31625,6019508
JP,JAPAN,250,111414,376910,42540017
KR,"KOREA,REPUBLIC OF",0,0,125200,7858305
SG,SINGAPORE,0,0,84950,5766132
SE,SWEDEN,0,0,40600,4118292
AE,UNITED ARAB EMIRATES,13000,646528,65000,3087377
GB,UNITED KINGDOM,0,0,12,39104
US,UNITED STATES,0,0,89149,5941902
VN,VIETNAM,0,0,11000,606859
SUM,SUM,73822,7043995,1327191,107894332
