"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'CIF (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'CIF (Baht)')"
BE,BELGIUM,0,0,25,355
CA,CANADA,124750,4805568,873500,40188082
CN,CHINA,54000,2538447,1508080,75550279
DE,GERMANY,0,0,5500,1407752
ID,INDONESIA,25,7504,25,7504
JP,JAPAN,34470,4031036,551246,56427796
KR,"KOREA,REPUBLIC OF",350100,38557350,4695636,467552281
LA,LAO PDR,0,0,20000,474907
NL,NETHERLANDS,0,0,718700,46057952
QA,QATAR,102000,3837455,433500,19284344
SA,SAUDI ARABIA,462450,19404834,3016225,143768729
SG,SINGAPORE,1568835,107509061,19915990,1317957730
ES,SPAIN,17600,2325798,444510,52928524
TW,"TAIWAN, PROVINCE OF CHINA",0,0,100,14069
AE,UNITED ARAB EMIRATES,1188000,45668019,7432103,343845412
US,UNITED STATES,1715300,74809614,15260160,770938574
VN,VIETNAM,200,37574,500,88040
SUM,SUM,5617730,303532260,54875800,3336492330
