"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2012', 'Quantity')","('Jan 2012', 'CIF (Baht)')","('Jan - Jan 2012', 'Quantity')","('Jan - Jan 2012', 'CIF (Baht)')"
BE,BELGIUM,12000,1329030,12000,1329030
FI,FINLAND,2000,226316,2000,226316
JP,JAPAN,131000,10936600,131000,10936600
KR,"KOREA,REPUBLIC OF",58000,3426174,58000,3426174
MY,MALAYSIA,120000,7606733,120000,7606733
SE,SWEDEN,46750,3356472,46750,3356472
AE,UNITED ARAB EMIRATES,156000,7311143,156000,7311143
US,UNITED STATES,71276,5364937,71276,5364937
VN,VIETNAM,51000,3091100,51000,3091100
SUM,SUM,648026,42648505,648026,42648505
