"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'CIF (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'CIF (Baht)')"
AT,AUSTRIA,0,0,13200,1699867
BE,BELGIUM,28500,2572492,138575,12908721
CA,CANADA,2250,635835,10600,2958940
CN,CHINA,630226,20304751,3315226,137160173
DK,DENMARK,0,0,0,204
FR,FRANCE,0,0,11000,1288220
DE,GERMANY,36235,2933627,82781,8063280
HK,HONG KONG,0,0,150,34350
IN,INDIA,0,0,27025,2285164
ID,INDONESIA,0,0,255,104947
IT,ITALY,2375,727617,5130,2290866
JP,JAPAN,365914,42234320,1426020,156478632
KR,"KOREA,REPUBLIC OF",214000,11654434,1203285,64334396
KW,KUWAIT,0,0,200,109520
MY,MALAYSIA,175425,8334793,386675,19478214
NL,NETHERLANDS,375,62386,11510,1586291
SA,SAUDI ARABIA,49500,1920460,285650,11581722
SG,SINGAPORE,2227683,102738703,10094386,455818072
ES,SPAIN,8800,677081,52800,3637197
TW,"TAIWAN, PROVINCE OF CHINA",21210,1513683,101265,9148610
TH,THAILAND,0,0,2500,271482
AE,UNITED ARAB EMIRATES,272510,11106229,1399010,56896244
GB,UNITED KINGDOM,4060,1104312,7060,2127673
US,UNITED STATES,316547,37324050,979054,133254790
VN,VIETNAM,0,0,27839,1416270
SUM,SUM,4355610,245844773,19581196,1084933845
