"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2021', 'Quantity')","('Dec 2021', 'CIF (Baht)')","('Jan - Dec 2021', 'Quantity')","('Jan - Dec 2021', 'CIF (Baht)')"
AT,AUSTRIA,350,448014,2486,3632877
BD,BANGLADESH,0,0,34,9112
BE,BELGIUM,100,35020,74735,7676443
BR,BRAZIL,573,216880,6363,2715716
CA,CANADA,0,0,10003,1442793
CN,CHINA,211480,15596466,2893040,190777905
CZ,CZECH REPUBLIC,0,0,2,682
EG,EGYPT,0,0,7,4433
FR,FRANCE,96,39737,251447,15123119
DE,GERMANY,214,76727,878067,89556647
HK,HONG KONG,122400,10814426,336652,28896497
IN,INDIA,4281,991916,5870,1459149
ID,INDONESIA,2100,38147,28410,2612306
IT,ITALY,0,0,3042,439612
JP,JAPAN,236619,34314146,2283592,379962949
KR,"KOREA,REPUBLIC OF",281000,18159135,3967125,239970023
MY,MALAYSIA,111600,10238396,1299007,103965428
NL,NETHERLANDS,21900,2730935,1249837,113694814
NO,NORWAY,480,206733,2220,942551
SA,SAUDI ARABIA,0,0,1556750,67654057
SG,SINGAPORE,25508,3756337,745790,97778869
ZA,SOUTH AFRICA,0,0,0,185
CH,SWITZERLAND,0,0,430,345942
TW,"TAIWAN, PROVINCE OF CHINA",0,0,16848,3703952
TH,THAILAND,5,5577,45030,2783540
AE,UNITED ARAB EMIRATES,569250,27731212,5593500,253467850
GB,UNITED KINGDOM,0,0,45200,5962050
US,UNITED STATES,24673,5676214,1474126,235987281
VN,VIETNAM,6000,536433,131081,12645830
SUM,SUM,1618629,131612451,22900694,1863212612
