"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'CIF (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'CIF (Baht)')"
BE,BELGIUM,49500,2546634,123750,6378070
CN,CHINA,88000,6538117,309500,23209477
ID,INDONESIA,32000,2831448,41150,3793569
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,120,30350
JP,JAPAN,672440,36279403,1902610,102476022
KW,KUWAIT,173250,7192046,346500,14444088
MY,MALAYSIA,687901,32452192,1501801,71033463
NL,NETHERLANDS,94275,4816606,119025,6103220
QA,QATAR,510000,20943100,1326000,55118307
SA,SAUDI ARABIA,2716199,115881693,5711249,245045067
SG,SINGAPORE,74250,3523390,322604,15774888
ES,SPAIN,0,0,1000,24578
TW,"TAIWAN, PROVINCE OF CHINA",50,1774,50,1774
TH,THAILAND,1723,326417,1723,326417
AE,UNITED ARAB EMIRATES,1237500,52781192,2400950,102511313
US,UNITED STATES,197775,12583440,257250,19257942
SUM,SUM,6534863,298697452,14365282,665528545
