"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2014', 'Quantity')","('Nov 2014', 'CIF (Baht)')","('Jan - Nov 2014', 'Quantity')","('Jan - Nov 2014', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,11000,787885
AT,AUSTRIA,0,0,88678,6273463
BE,BELGIUM,0,0,84000,7460400
CN,CHINA,11200,776869,530695,39003076
FI,FINLAND,0,0,12000,1405309
IN,INDIA,0,0,264000,17607190
IT,ITALY,0,0,12375,3070759
JP,JAPAN,0,0,744650,60965243
KR,"KOREA,REPUBLIC OF",152000,10552813,2754650,195618610
MY,MALAYSIA,20000,1292312,145000,9679846
PT,PORTUGAL,0,0,635,144881
SA,SAUDI ARABIA,49500,2632234,99000,5184865
SG,SINGAPORE,0,0,1,849
SE,SWEDEN,50000,4815980,425975,34088375
TW,"TAIWAN, PROVINCE OF CHINA",0,0,33150,2999163
AE,UNITED ARAB EMIRATES,101400,5542112,829400,44750621
US,UNITED STATES,151914,13081473,1453787,111742065
VN,VIETNAM,100500,7255140,514750,36758566
SUM,SUM,636514,45948933,8003746,577541166
