"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'CIF (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'CIF (Baht)')"
BE,BELGIUM,157630,10006375,493500,35890461
CN,CHINA,369003,21644315,1229341,74396040
FR,FRANCE,60000,5018438,242885,18895291
DE,GERMANY,26236,3925753,103149,13207050
HK,HONG KONG,25,4491,25,4491
IN,INDIA,0,0,175,6028
ID,INDONESIA,4630,520572,20240,2197627
JP,JAPAN,1032420,82356612,3271549,279812239
KR,"KOREA,REPUBLIC OF",2528000,113655119,6287306,274459602
MY,MALAYSIA,1075,121873,60075,2725511
MX,MEXICO,0,0,680,63543
NL,NETHERLANDS,74300,5965747,347300,26812198
SA,SAUDI ARABIA,1154130,53073246,3485640,142110920
SG,SINGAPORE,3763725,180106636,9201070,432695794
ES,SPAIN,0,0,10095,1307243
TW,"TAIWAN, PROVINCE OF CHINA",36281,1954350,138356,6582094
AE,UNITED ARAB EMIRATES,694000,26096303,2140550,76350055
US,UNITED STATES,24515,3065116,62413,8605339
VN,VIETNAM,723000,26690377,1710025,61656016
SUM,SUM,10648970,534205323,28804374,1457777542
