"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'CIF (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,4580,1540543
AT,AUSTRIA,0,0,1375,36280
BE,BELGIUM,150,92273,110951,10169464
BR,BRAZIL,3000,279429,5250,557786
KH,CAMBODIA,0,0,5,1814
CN,CHINA,43898,3829768,216443,17411163
FI,FINLAND,74250,3723945,519950,25707065
FR,FRANCE,0,0,0,2136
DE,GERMANY,196322,13627796,1700762,114092900
HK,HONG KONG,0,0,100,23302
IN,INDIA,75,15242,2032,490855
ID,INDONESIA,65120,5236941,176650,12392037
IT,ITALY,0,271,0,271
JP,JAPAN,316507,23653527,1896868,133344352
KR,"KOREA,REPUBLIC OF",326000,17875107,1826047,102245817
KW,KUWAIT,618750,26892208,2178000,89313068
MY,MALAYSIA,3018400,140272685,19554702,841541518
NL,NETHERLANDS,248100,14348378,1537000,88122893
NZ,NEW ZEALAND,0,0,1,6929
PH,PHILIPPINES,0,2778,9,5251
PL,POLAND,0,0,8003,1324547
QA,QATAR,663000,29260113,3899000,159410348
SA,SAUDI ARABIA,2700550,117565589,17090238,700174696
SG,SINGAPORE,2576945,128286792,15341810,703643674
ES,SPAIN,0,0,36250,2079292
SE,SWEDEN,1000,166583,2375,246231
TW,"TAIWAN, PROVINCE OF CHINA",1000,217047,13550,2510924
TH,THAILAND,0,0,935,89016
AE,UNITED ARAB EMIRATES,74475,3175043,922212,37754228
GB,UNITED KINGDOM,800,187302,5824,1352084
US,UNITED STATES,205686,16256295,625857,53739763
VN,VIETNAM,5104,812594,19154,2792350
SUM,SUM,11139132,545777706,67695933,3102122597
