"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2017', 'Quantity')","('Oct 2017', 'CIF (Baht)')","('Jan - Oct 2017', 'Quantity')","('Jan - Oct 2017', 'CIF (Baht)')"
AU,AUSTRALIA,47,18028,55110,3478144
AT,AUSTRIA,0,0,11465,1110983
BE,BELGIUM,464430,23162653,3533080,185539024
BR,BRAZIL,49500,2146356,572375,42749350
CA,CANADA,0,0,30711,2893228
CN,CHINA,80050,3901455,464556,24220623
FI,FINLAND,49500,2847543,99000,5675925
FR,FRANCE,0,0,3,25630
DE,GERMANY,1780,4266500,44200,36445011
HK,HONG KONG,0,0,11,2386
IN,INDIA,0,0,12000,1068509
ID,INDONESIA,0,0,103500,4168189
IL,ISRAEL,0,0,165,63622
IT,ITALY,10000,1405758,180502,13443477
JP,JAPAN,1560899,80485741,18855522,893695978
KR,"KOREA,REPUBLIC OF",291000,11747101,3510742,153274567
KW,KUWAIT,470250,17686084,6039000,239707610
LU,LUXEMBOURG,0,0,7,5328
MY,MALAYSIA,25255,991131,2416505,99705088
NL,NETHERLANDS,100,80509,140,92239
NZ,NEW ZEALAND,0,0,312,32362
NO,NORWAY,0,0,20530,1141666
PH,PHILIPPINES,0,0,192000,8282200
QA,QATAR,2059780,79702852,20052020,818493102
SA,SAUDI ARABIA,1828350,71967935,24729125,993260242
SG,SINGAPORE,1339200,54562796,20496920,863342382
ES,SPAIN,0,0,241170,13025243
CH,SWITZERLAND,0,0,100640,5376004
TW,"TAIWAN, PROVINCE OF CHINA",416000,18804795,3510550,165112449
TH,THAILAND,15200,648708,215336,8713918
AE,UNITED ARAB EMIRATES,841475,33955384,12716850,519109974
GB,UNITED KINGDOM,0,0,888,576576
US,UNITED STATES,1182606,52376256,4332607,211694351
VN,VIETNAM,0,0,54726,2315521
SUM,SUM,10685422,460757585,122592268,5317840901
