"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2020', 'Quantity')","('Aug 2020', 'CIF (Baht)')","('Jan - Aug 2020', 'Quantity')","('Jan - Aug 2020', 'CIF (Baht)')"
AU,AUSTRALIA,22000,704218,1028970,33074933
AT,AUSTRIA,480,142113,3365,1188740
BE,BELGIUM,0,0,1375,112675
CN,CHINA,687204,33714736,4071542,230877359
CO,COLOMBIA,0,0,17677,217697
DK,DENMARK,0,0,30,9523
FI,FINLAND,23375,1112136,140250,6825411
FR,FRANCE,0,0,3470,384402
DE,GERMANY,0,0,26735,2698167
HK,HONG KONG,0,0,1008,246528
IN,INDIA,92480,1883904,611723,17367636
ID,INDONESIA,13775,1283060,303060,20735632
IL,ISRAEL,15000,1003568,15020,1004280
IT,ITALY,0,0,5053,360618
JP,JAPAN,319040,25233240,4163164,304277494
KR,"KOREA,REPUBLIC OF",2048600,84118177,10587198,433561876
MY,MALAYSIA,60490,8130363,1077925,68507529
MX,MEXICO,0,0,25,96070
NL,NETHERLANDS,4,3436,308286,25637989
NZ,NEW ZEALAND,0,0,912,478008
OM,OMAN,123750,3359085,963125,27765536
PH,PHILIPPINES,0,0,12,2882
PL,POLAND,0,0,182397,2602254
SA,SAUDI ARABIA,1366775,41682042,10217300,305884296
SG,SINGAPORE,620221,28222026,3834098,198847156
ZA,SOUTH AFRICA,24751,734776,24751,734776
CH,SWITZERLAND,0,0,100,28173
TW,"TAIWAN, PROVINCE OF CHINA",323505,13221522,1887816,77690267
TH,THAILAND,0,0,104500,2574912
AE,UNITED ARAB EMIRATES,458475,14196693,6547594,191265109
GB,UNITED KINGDOM,0,0,7075,1255116
US,UNITED STATES,1437,169493,42269,3303436
VN,VIETNAM,250,93610,206507,9597390
SUM,SUM,6201612,259008198,46384332,1969213870
