"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2018', 'Quantity')","('Jun 2018', 'CIF (Baht)')","('Jan - Jun 2018', 'Quantity')","('Jan - Jun 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,593020,22567312
AT,AUSTRIA,0,0,1375,101900
BE,BELGIUM,267125,15142808,811125,44784355
CN,CHINA,240476,13805931,1269023,82563549
CZ,CZECH REPUBLIC,0,0,1,887
FI,FINLAND,23250,1378580,143375,8787294
DE,GERMANY,15000,1010407,41260,1684333
IN,INDIA,1000,108218,6020,649416
ID,INDONESIA,3000,250286,3000,250286
IL,ISRAEL,18000,1215273,56000,3807315
IT,ITALY,0,0,47,20257
JP,JAPAN,534525,32866125,2487826,146304148
KR,"KOREA,REPUBLIC OF",495625,24432383,3138675,145347281
MY,MALAYSIA,93678,10197659,458622,56419406
MX,MEXICO,0,0,4080,347087
SA,SAUDI ARABIA,247500,10473732,1783250,71926721
SG,SINGAPORE,31080,3474554,898410,48127981
ZA,SOUTH AFRICA,0,0,10,4603
TW,"TAIWAN, PROVINCE OF CHINA",21000,897567,267200,12974618
TH,THAILAND,0,0,50,8542
AE,UNITED ARAB EMIRATES,1000,48049,3175,153271
US,UNITED STATES,18964,1633409,132498,11234751
SUM,SUM,2011223,116934981,12098042,658065313
