"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'CIF (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,1001,112761
BE,BELGIUM,225,41319,170462,9039177
BR,BRAZIL,693000,32165860,8363874,422711397
CA,CANADA,22150,393420,89624,1160631
CN,CHINA,32429,2392127,1617083,55903553
FI,FINLAND,0,0,841475,44174550
FR,FRANCE,0,0,115040,13985998
DE,GERMANY,213610,14407465,3597336,230276506
HK,HONG KONG,0,0,336,30521
HU,HUNGARY,0,0,13050,738665
IN,INDIA,1000,82204,4262,355432
ID,INDONESIA,100,11930,31050,12100462
IE,IRELAND,0,0,0,4067
IL,ISRAEL,21800,1739766,59800,4797658
IT,ITALY,0,0,41375,12586475
JP,JAPAN,281767,20244945,2554499,189516087
KR,"KOREA,REPUBLIC OF",178000,7525011,2890601,123565980
KW,KUWAIT,346500,9848717,4677800,123451329
LU,LUXEMBOURG,12000,1227948,242150,25166837
MY,MALAYSIA,4171428,152499571,55999200,1740527259
MM,MYANMAR,0,0,1,66
NL,NETHERLANDS,215100,11215654,3523237,183187748
NZ,NEW ZEALAND,0,0,0,252
NO,NORWAY,17380,907647,510310,26024001
PT,PORTUGAL,0,0,100,59370
QA,QATAR,1326000,43785547,15784500,459690790
SA,SAUDI ARABIA,2024000,68497740,39481332,1158177425
SG,SINGAPORE,1302000,48651719,24419876,804124410
ES,SPAIN,0,0,56,146932
CH,SWITZERLAND,0,0,1160,330489
TW,"TAIWAN, PROVINCE OF CHINA",100,28408,35638,3147764
TH,THAILAND,0,0,17800,916621
TT,TRINIDAD AND TOBAGO,0,0,7850,29556
TR,TÜRKIYE,0,0,1375,86070
AE,UNITED ARAB EMIRATES,247500,7821704,2848556,79405245
GB,UNITED KINGDOM,10,13790,87115,7458161
US,UNITED STATES,307581,10867599,8574858,282058304
VN,VIETNAM,3100,467134,90826,7841230
SUM,SUM,11416780,434837225,176694608,6022889779
