"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2013', 'Quantity')","('Aug 2013', 'CIF (Baht)')","('Jan - Aug 2013', 'Quantity')","('Jan - Aug 2013', 'CIF (Baht)')"
AU,AUSTRALIA,70,36297,16470,1018279
AT,AUSTRIA,0,0,10000,598956
BE,BELGIUM,3000,530368,85040,9156010
BR,BRAZIL,0,0,18387,2640137
CA,CANADA,0,0,32000,5152036
CN,CHINA,132623,13871310,741290,84521576
CZ,CZECH REPUBLIC,0,0,1500,244184
FR,FRANCE,5000,684882,35540,7283664
DE,GERMANY,0,0,27192,3306376
HK,HONG KONG,500,45291,41325,3437197
IN,INDIA,0,0,500,40596
ID,INDONESIA,25,6429,46558,4564251
IT,ITALY,0,0,5517,660634
JP,JAPAN,1843678,117608363,13254050,858781981
KR,"KOREA,REPUBLIC OF",588650,30910472,6066350,305431837
LU,LUXEMBOURG,0,0,400,182004
MY,MALAYSIA,2049,127262,641624,29773770
NL,NETHERLANDS,24750,1630220,1000800,67025836
NZ,NEW ZEALAND,0,0,80,12140
SA,SAUDI ARABIA,297000,14064883,2040250,92988036
SG,SINGAPORE,4791800,248767679,41367050,2069541368
ES,SPAIN,0,0,5510,592693
TW,"TAIWAN, PROVINCE OF CHINA",141000,8013035,1446524,80147088
TH,THAILAND,60250,4443679,77250,5264535
AE,UNITED ARAB EMIRATES,49500,2311275,638150,28354389
GB,UNITED KINGDOM,15000,1383904,60000,5466746
US,UNITED STATES,12165,1228473,245514,19564845
VN,VIETNAM,8000,2936890,77000,17210801
SUM,SUM,7975060,448600712,67981871,3702961965
