"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'CIF (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,26550,2182711
AT,AUSTRIA,0,0,22740,1370159
BE,BELGIUM,24775,1207667,544775,26149654
BR,BRAZIL,4767,788390,12278,2055964
CA,CANADA,0,0,554000,24363513
CN,CHINA,62750,7415534,511453,75569922
FR,FRANCE,11100,560671,779310,38932775
DE,GERMANY,0,0,73711,14554648
HK,HONG KONG,500,84581,8625,1119321
IN,INDIA,81,16983,8813,659969
ID,INDONESIA,14000,1701353,184250,21044493
IT,ITALY,50,17336,42927,3478243
JP,JAPAN,1009212,69168786,12635617,809675641
KP,KOREA DPR,0,0,22000,1000644
KR,"KOREA,REPUBLIC OF",242125,10859787,3359450,155306392
MY,MALAYSIA,8500,364198,349450,14681632
MX,MEXICO,0,0,680,91280
NL,NETHERLANDS,193875,12180503,1093112,64634055
NO,NORWAY,33,18513,33,18513
SA,SAUDI ARABIA,198000,7820533,2457550,93159100
SG,SINGAPORE,5796896,254811481,53839555,2383407207
ZA,SOUTH AFRICA,297000,10533176,1089000,38155375
ES,SPAIN,0,0,83635,7914199
TW,"TAIWAN, PROVINCE OF CHINA",77580,3865305,1367686,61786592
TH,THAILAND,54990,2381352,121765,4953885
TR,TÜRKIYE,50,9436,4568,296338
AE,UNITED ARAB EMIRATES,283250,10716077,5179475,192166897
GB,UNITED KINGDOM,0,0,1007,427720
US,UNITED STATES,21556,2522480,378447,38172121
VN,VIETNAM,200,37832,200,37832
SUM,SUM,8301290,397081974,84752662,4077366795
