"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
BE,BELGIUM,200,192051,200,192051
CN,CHINA,88500,6953095,88500,6953095
ID,INDONESIA,37250,3460360,37250,3460360
JP,JAPAN,285710,17229217,285710,17229217
KR,"KOREA,REPUBLIC OF",22000,1204410,22000,1204410
KW,KUWAIT,148500,5980180,148500,5980180
MY,MALAYSIA,33229,1630656,33229,1630656
NL,NETHERLANDS,64750,3097704,64750,3097704
PH,PHILIPPINES,17000,729244,17000,729244
QA,QATAR,408000,15764296,408000,15764296
SA,SAUDI ARABIA,2326500,96579495,2326500,96579495
SG,SINGAPORE,405000,17328453,405000,17328453
AE,UNITED ARAB EMIRATES,990150,40359003,990150,40359003
US,UNITED STATES,141541,8996539,141541,8996539
SUM,SUM,4968330,219504703,4968330,219504703
