"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2014', 'Quantity')","('Jan 2014', 'CIF (Baht)')","('Jan - Jan 2014', 'Quantity')","('Jan - Jan 2014', 'CIF (Baht)')"
BE,BELGIUM,12500,1255634,12500,1255634
CA,CANADA,8000,1427296,8000,1427296
CN,CHINA,63700,10242699,63700,10242699
ID,INDONESIA,10000,1058060,10000,1058060
IT,ITALY,49500,3232498,49500,3232498
JP,JAPAN,1064992,83476924,1064992,83476924
KR,"KOREA,REPUBLIC OF",491650,28883332,491650,28883332
MY,MALAYSIA,38125,2539786,38125,2539786
NL,NETHERLANDS,74250,5570755,74250,5570755
SA,SAUDI ARABIA,270850,13966371,270850,13966371
SG,SINGAPORE,4863627,276275147,4863627,276275147
TW,"TAIWAN, PROVINCE OF CHINA",263040,16538963,263040,16538963
AE,UNITED ARAB EMIRATES,272250,13835092,272250,13835092
US,UNITED STATES,1526,254697,1526,254697
VN,VIETNAM,9000,3749859,9000,3749859
SUM,SUM,7493010,462307113,7493010,462307113
