"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'CIF (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,7,6647
AT,AUSTRIA,0,0,100,169372
BE,BELGIUM,100,98285,800,395983
BZ,BELIZE,0,0,382,139002
BR,BRAZIL,0,0,1146,413839
CA,CANADA,33,302867,67,596172
CN,CHINA,85780,3689372,367128,20113544
DK,DENMARK,0,0,2,13283
SZ,ESWATINI,0,0,500,98181
FR,FRANCE,10125,1001777,101179,6501129
DE,GERMANY,0,0,25485,6304528
HK,HONG KONG,8000,2051050,24100,6232147
IN,INDIA,5000,518716,10116,1129184
ID,INDONESIA,0,0,23100,2038671
IT,ITALY,510,58888,5070,752893
JP,JAPAN,114652,26793755,565728,103495042
KR,"KOREA,REPUBLIC OF",295790,17875089,1450992,81425370
MY,MALAYSIA,80001,6877011,448201,37366765
NL,NETHERLANDS,161120,13272733,542293,45590317
NZ,NEW ZEALAND,24,21306,24,21306
NO,NORWAY,0,0,1,697
SA,SAUDI ARABIA,49500,1765686,792000,29770788
SG,SINGAPORE,79766,8534905,241796,24993278
CH,SWITZERLAND,0,0,300,156090
TW,"TAIWAN, PROVINCE OF CHINA",72000,5060105,250000,16558261
TH,THAILAND,4000,336959,4000,336959
AE,UNITED ARAB EMIRATES,222750,9458088,1757250,69809483
GB,UNITED KINGDOM,0,0,27300,2976853
US,UNITED STATES,41413,6928890,442388,51673413
VN,VIETNAM,10000,788253,29001,2340140
SUM,SUM,1240564,105433735,7110456,511419337
