"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'CIF (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'CIF (Baht)')"
BR,BRAZIL,130,174531,130,174531
CN,CHINA,3050,279521,3050,279521
FR,FRANCE,240,71970,16720,1604066
DE,GERMANY,0,0,875,146717
JP,JAPAN,1791,561731,7261,1540914
KR,"KOREA,REPUBLIC OF",187200,12306782,338700,22219545
RU,RUSSIAN FEDERATION,0,0,6750,1484935
TH,THAILAND,4975,567198,4975,567198
US,UNITED STATES,0,0,168,81352
SUM,SUM,197386,13961733,378629,28098779
