"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2016', 'Quantity')","('Jan 2016', 'CIF (Baht)')","('Jan - Jan 2016', 'Quantity')","('Jan - Jan 2016', 'CIF (Baht)')"
CN,CHINA,40722,7852232,40722,7852232
FR,FRANCE,74300,3870658,74300,3870658
DE,GERMANY,6854,983385,6854,983385
HK,HONG KONG,1275,123586,1275,123586
ID,INDONESIA,24725,2634299,24725,2634299
JP,JAPAN,1136448,72395829,1136448,72395829
KR,"KOREA,REPUBLIC OF",476000,21214849,476000,21214849
MY,MALAYSIA,74950,2534324,74950,2534324
NL,NETHERLANDS,63250,4803424,63250,4803424
SA,SAUDI ARABIA,148500,5461313,148500,5461313
SG,SINGAPORE,4254900,189583675,4254900,189583675
TW,"TAIWAN, PROVINCE OF CHINA",223000,10188745,223000,10188745
TR,TÜRKIYE,243,27257,243,27257
AE,UNITED ARAB EMIRATES,643650,23324599,643650,23324599
US,UNITED STATES,48842,4153743,48842,4153743
SUM,SUM,7217659,349151918,7217659,349151918
