"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'CIF (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'CIF (Baht)')"
BE,BELGIUM,12000,1146838,132000,12671759
CN,CHINA,50,12560,50,12560
FR,FRANCE,0,0,4125,229556
DE,GERMANY,0,0,371250,18888364
JP,JAPAN,0,0,10703,3060871
KR,"KOREA,REPUBLIC OF",42000,2048924,133000,7326503
MY,MALAYSIA,0,0,280450,10850577
SA,SAUDI ARABIA,0,0,124125,4978392
SG,SINGAPORE,852000,35785700,8855053,361321027
SE,SWEDEN,0,0,1375,90457
TH,THAILAND,0,0,200,1265
AE,UNITED ARAB EMIRATES,24700,1167950,306150,14129151
GB,UNITED KINGDOM,950,115150,6750,794789
US,UNITED STATES,0,0,1112142,71823420
SUM,SUM,931700,40277122,11337373,506178691
