"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2012', 'Quantity')","('Jun 2012', 'CIF (Baht)')","('Jan - Jun 2012', 'Quantity')","('Jan - Jun 2012', 'CIF (Baht)')"
AT,AUSTRIA,0,0,103,28597
BE,BELGIUM,19000,2069064,57000,6122102
CN,CHINA,0,0,16000,1686862
JP,JAPAN,186659,20398923,940413,95046089
KR,"KOREA,REPUBLIC OF",28000,1375452,178870,10132656
MY,MALAYSIA,2750,220841,2750,220841
QA,QATAR,0,0,66000,2921371
SG,SINGAPORE,0,0,9000,1461919
TW,"TAIWAN, PROVINCE OF CHINA",64000,3398530,320000,22580883
US,UNITED STATES,100,35793,100,35793
VN,VIETNAM,0,0,50,49299
SUM,SUM,300509,27498603,1590286,140286412
