"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2014', 'Quantity')","('Jul 2014', 'CIF (Baht)')","('Jan - Jul 2014', 'Quantity')","('Jan - Jul 2014', 'CIF (Baht)')"
BE,BELGIUM,61250,4629995,98340,9036082
CA,CANADA,0,0,27540,4849289
CN,CHINA,59350,8101496,363150,53844237
FR,FRANCE,105185,9709633,490995,39326621
DE,GERMANY,190,94235,25083,4157385
HK,HONG KONG,1000,92288,3800,374475
IN,INDIA,0,0,9,1906
ID,INDONESIA,9806,1067392,67256,7328368
IT,ITALY,297000,23142763,393250,30110051
JP,JAPAN,862547,69788121,9256735,692254084
KR,"KOREA,REPUBLIC OF",365500,21805872,2692637,160734236
MY,MALAYSIA,75000,3781348,330560,17850726
NL,NETHERLANDS,110000,8272135,622875,47097575
NZ,NEW ZEALAND,466,46960,1128,302599
SA,SAUDI ARABIA,65500,3511867,1273975,66937736
SG,SINGAPORE,4261600,244453537,32244354,1813959150
ZA,SOUTH AFRICA,0,0,99000,5005968
ES,SPAIN,0,0,5500,681090
TW,"TAIWAN, PROVINCE OF CHINA",80050,4789918,952530,58282153
TH,THAILAND,9000,551525,11000,706293
AE,UNITED ARAB EMIRATES,222750,11686484,1001000,51675333
GB,UNITED KINGDOM,0,0,8000,838141
US,UNITED STATES,2350,432658,224647,18541100
VN,VIETNAM,0,0,58300,21427364
SUM,SUM,6588544,415958227,50251664,3105321962
