"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'CIF (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'CIF (Baht)')"
CA,CANADA,0,0,16250,2333688
CN,CHINA,24300,2307305,154031,20989705
DE,GERMANY,0,0,1015,411943
HK,HONG KONG,0,0,1,96
IN,INDIA,0,0,14821,825113
JP,JAPAN,5,34884,47297,7515346
SG,SINGAPORE,0,0,4000,1144095
ES,SPAIN,0,0,2,1755
TR,TÜRKIYE,0,0,1085,62024
GB,UNITED KINGDOM,0,0,623,321860
US,UNITED STATES,0,0,125,128246
SUM,SUM,24305,2342189,239250,33733871
