"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2014', 'Quantity')","('Apr 2014', 'CIF (Baht)')","('Jan - Apr 2014', 'Quantity')","('Jan - Apr 2014', 'CIF (Baht)')"
AU,AUSTRALIA,48000,1762560,127200,4423052
BE,BELGIUM,290450,19116255,510640,34209456
CN,CHINA,25025,1296449,162075,9029012
DK,DENMARK,0,8101,0,8101
FI,FINLAND,24750,1597401,24750,1597401
FR,FRANCE,0,0,11000,863719
DE,GERMANY,2840,5870915,19156,19256114
GT,GUATEMALA,0,0,25,36357
IN,INDIA,0,0,6,1432
ID,INDONESIA,24750,1316085,24750,1316085
JP,JAPAN,1386720,88373993,6074402,382343290
KR,"KOREA,REPUBLIC OF",48755,2726968,167980,9317460
KW,KUWAIT,396000,19891257,2252250,113296526
MY,MALAYSIA,910000,48879621,2746212,150385735
NZ,NEW ZEALAND,0,0,50,27779
PE,PERU,0,0,140,83570
QA,QATAR,2545020,136666383,6099680,325727625
SA,SAUDI ARABIA,3048505,155411012,11156255,570234185
SG,SINGAPORE,1414120,74065656,4776980,251988493
TW,"TAIWAN, PROVINCE OF CHINA",0,0,45455,1300325
AE,UNITED ARAB EMIRATES,522500,26454783,3470500,177358287
US,UNITED STATES,693591,38653592,948933,56631436
SUM,SUM,11381026,622091031,38618439,2109435440
