"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'CIF (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,125200
BE,BELGIUM,0,0,24000,2338273
CN,CHINA,142000,9559303,256000,16339977
FI,FINLAND,25,2845,25,2845
IT,ITALY,0,0,275,30441
JP,JAPAN,0,0,1006,88135
KR,"KOREA,REPUBLIC OF",293720,17757391,745856,48006498
MY,MALAYSIA,25000,1502668,187300,10467466
NZ,NEW ZEALAND,0,0,1871,1021525
SA,SAUDI ARABIA,0,0,22000,1035847
SG,SINGAPORE,0,0,50,8607
ES,SPAIN,0,0,5800,1505383
AE,UNITED ARAB EMIRATES,242000,12319825,740500,37025339
US,UNITED STATES,274420,21206865,934662,60964275
VN,VIETNAM,0,0,11560,649079
SUM,SUM,977165,62348897,2931305,179608890
