"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'CIF (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'CIF (Baht)')"
CN,CHINA,4000,393259,35323,2454513
JP,JAPAN,32000,4283946,228220,18878179
KR,"KOREA,REPUBLIC OF",3,2000,3,2000
MY,MALAYSIA,48000,2076077,88000,4455862
NL,NETHERLANDS,24750,1160879,26000,1278093
SA,SAUDI ARABIA,144000,6641567,1011000,46163438
SG,SINGAPORE,485500,31352005,4730950,315243951
TH,THAILAND,25,12778,100,29624
AE,UNITED ARAB EMIRATES,247400,9869213,643400,26235094
US,UNITED STATES,11000,560766,843478,71242827
SUM,SUM,996678,56352490,7606474,485983581
