"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'CIF (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,400,118151
AT,AUSTRIA,58,46080,200,249625
BE,BELGIUM,0,0,224,155274
BR,BRAZIL,382,134553,382,134553
CA,CANADA,2535,665595,5045,1131987
CN,CHINA,145652,8159884,362473,18648859
FR,FRANCE,8095,882378,102472,7809478
DE,GERMANY,11661,2689413,26566,6820381
IN,INDIA,0,0,55350,3112539
ID,INDONESIA,23350,2103722,24150,2287424
IT,ITALY,680,84800,2212,292819
JP,JAPAN,360101,44998732,698901,100211784
KR,"KOREA,REPUBLIC OF",236175,13674720,880651,49304389
LU,LUXEMBOURG,20,13769,20,13769
MY,MALAYSIA,91280,9694510,285865,27736274
NL,NETHERLANDS,60400,5183129,210660,18299381
NZ,NEW ZEALAND,50,40463,100,81960
SA,SAUDI ARABIA,529700,20651899,1767200,68073365
SG,SINGAPORE,84410,6885648,211475,26260161
ES,SPAIN,60,1054,11060,1013243
CH,SWITZERLAND,0,972,0,972
TW,"TAIWAN, PROVINCE OF CHINA",20684,2956082,47852,4640083
GB,UNITED KINGDOM,1148,182584,13593,1732934
US,UNITED STATES,227941,40452016,630344,115735423
VN,VIETNAM,8775,720320,27821,2312579
SUM,SUM,1813157,160222323,5365016,456177407
