"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2021', 'Quantity')","('Aug 2021', 'CIF (Baht)')","('Jan - Aug 2021', 'Quantity')","('Jan - Aug 2021', 'CIF (Baht)')"
CA,CANADA,0,0,16250,2333688
CN,CHINA,10000,2649211,164031,23638916
DE,GERMANY,0,0,1015,411943
HK,HONG KONG,0,0,1,96
IN,INDIA,850,55570,15671,880683
JP,JAPAN,0,0,47297,7515346
SG,SINGAPORE,0,0,4000,1144095
ES,SPAIN,0,0,2,1755
TR,TÜRKIYE,0,0,1085,62024
GB,UNITED KINGDOM,285,166248,908,488108
US,UNITED STATES,0,0,125,128246
SUM,SUM,11135,2871029,250385,36604900
