"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2015', 'Quantity')","('Jun 2015', 'CIF (Baht)')","('Jan - Jun 2015', 'Quantity')","('Jan - Jun 2015', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,40,13621
AT,AUSTRIA,775,299903,3956,1563334
BE,BELGIUM,16450,2479344,185380,17607218
CA,CANADA,2275,536299,12025,2874474
CN,CHINA,609117,28429418,2235357,102460767
FR,FRANCE,0,0,30223,3021651
DE,GERMANY,51501,3213175,452969,30997402
HK,HONG KONG,0,0,580,16618
IN,INDIA,5000,444392,68000,5915128
ID,INDONESIA,0,0,22,5374
IL,ISRAEL,0,0,0,1718
IT,ITALY,2000,635172,10025,2919043
JP,JAPAN,478919,41758705,2148874,220696667
KP,KOREA DPR,0,0,14000,716785
KR,"KOREA,REPUBLIC OF",85106,5395876,1208611,65119995
MY,MALAYSIA,550,71253,5170,483621
NZ,NEW ZEALAND,0,0,2500,602720
QA,QATAR,433500,19900974,1912500,86051934
SA,SAUDI ARABIA,259650,12611213,1621150,68255620
SG,SINGAPORE,1993223,114444271,11418880,613039788
ES,SPAIN,11000,1029995,63900,5129304
CH,SWITZERLAND,17,2649,1267,176137
TW,"TAIWAN, PROVINCE OF CHINA",95000,5986620,427839,26068283
TH,THAILAND,150,59504,25762,767887
TR,TÜRKIYE,25,14036,65,30414
AE,UNITED ARAB EMIRATES,348600,16270836,2713681,111124897
GB,UNITED KINGDOM,0,0,8563,804400
US,UNITED STATES,4100558,250224741,10003249,789627687
VN,VIETNAM,2520,240062,57785,3365571
SUM,SUM,8495936,504048438,34632373,2159458058
