"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2012', 'Quantity')","('Aug 2012', 'CIF (Baht)')","('Jan - Aug 2012', 'Quantity')","('Jan - Aug 2012', 'CIF (Baht)')"
AU,AUSTRALIA,0,0,16000,607399
AT,AUSTRIA,0,0,1375,114731
BE,BELGIUM,255695,13742729,2364980,143622418
BR,BRAZIL,0,0,11000,1001750
CA,CANADA,0,0,41912,3205286
CN,CHINA,35920,1210103,2064512,95466888
FR,FRANCE,0,0,67892,5507347
DE,GERMANY,27155,11378103,638180,70199906
HK,HONG KONG,0,0,20000,3252336
IN,INDIA,0,0,563500,25266113
ID,INDONESIA,0,0,567526,26101695
IR,IRAN (ISLAMIC REPUBLIC OF),297000,12102089,1188000,48856339
IL,ISRAEL,60,5214,60,5214
IT,ITALY,0,0,25,10342
JP,JAPAN,1697301,119696891,11770930,752210439
KR,"KOREA,REPUBLIC OF",177,142152,830067,38103376
KW,KUWAIT,321750,12953015,2623600,111084118
MY,MALAYSIA,544075,23855830,3390075,159397367
MX,MEXICO,0,0,387,78708
NL,NETHERLANDS,600,186741,105000,8561935
QA,QATAR,2568360,112150570,20893134,963867809
SA,SAUDI ARABIA,1738375,72251844,13742125,599069644
SG,SINGAPORE,3480610,148187519,22800751,1039804187
SE,SWEDEN,0,0,22000,1719647
CH,SWITZERLAND,0,0,16730,922577
TW,"TAIWAN, PROVINCE OF CHINA",0,0,33075,1414103
TH,THAILAND,0,0,22000,942572
AE,UNITED ARAB EMIRATES,1237500,50887332,17121131,723084443
GB,UNITED KINGDOM,0,396,0,396
US,UNITED STATES,0,0,338854,21524171
SUM,SUM,12204578,578750528,101254821,4845003256
